Latitude,Longitude,Elevation
41.69589000,-87.9858500,219.0
41.69564000,-87.9856600,217.0
41.69537000,-87.9854400,216.0
41.69533000,-87.9853800,216.0
41.69530000,-87.9853200,216.0
41.69529000,-87.9852500,216.0
41.69529000,-87.9851800,216.0
41.69531000,-87.9851100,216.0
41.69531000,-87.9850400,216.0
41.69531000,-87.9849700,216.0
41.69530000,-87.9849100,216.0
41.69528000,-87.9848600,216.0
41.69520000,-87.9848100,216.0
41.69513000,-87.9847500,216.0
41.69508000,-87.9846600,216.0
41.69502000,-87.9842800,216.0
41.69502000,-87.9842600,216.0
41.69498000,-87.9841700,215.0
41.69490000,-87.9840900,214.0
41.69476000,-87.9840600,213.0
41.69461000,-87.9840400,212.0
41.69444000,-87.9839700,210.0
41.69429000,-87.9838200,209.0
41.69419000,-87.9837000,208.0
41.69409000,-87.9835600,207.0
41.69403000,-87.9835200,206.0
41.69397000,-87.9835000,206.0
41.69381000,-87.9834800,205.0
41.69370000,-87.9834500,205.0
41.69355000,-87.9834100,205.0
41.69343000,-87.9833500,205.0
41.69316000,-87.9831200,202.0
41.69325000,-87.9827800,200.0
41.69329000,-87.9826700,200.0
41.69330000,-87.9825800,200.0
41.69330000,-87.9824900,199.0
41.69330000,-87.9823600,198.0
41.69329000,-87.9822200,197.0
41.69326000,-87.9820100,197.0
41.69324000,-87.9818700,197.0
41.69323000,-87.9817700,197.0
41.69323000,-87.9816900,197.0
41.69324000,-87.9816100,197.0
41.69331000,-87.9813000,197.0
41.69334000,-87.9810300,195.0
41.69337000,-87.9808200,194.0
41.69340000,-87.9806500,194.0
41.69347000,-87.9803800,195.0
41.69352000,-87.9802100,195.0
41.69362000,-87.9799200,193.0
41.69410000,-87.9784900,193.0
41.69441000,-87.9777100,191.0
41.69465000,-87.9772300,193.0
41.69490000,-87.9768000,194.0
41.69500000,-87.9766500,194.0
41.69518000,-87.9763900,196.0
41.69549000,-87.9755400,195.0
41.69572000,-87.9749800,197.0
41.69616000,-87.9739500,197.0
41.69638000,-87.9733900,197.0
41.69655000,-87.9728300,193.0
41.69654000,-87.9724900,191.0
41.69652000,-87.9722000,190.0
41.69656000,-87.9718900,189.0
41.69659000,-87.9717800,189.0
41.69662000,-87.9716700,189.0
41.69668000,-87.9715000,187.0
41.69704000,-87.9714000,187.0
41.69737000,-87.9712800,188.0
41.69738000,-87.9710700,189.0
41.69740000,-87.9707900,191.0
41.69743000,-87.9705400,192.0
41.69748000,-87.9702800,192.0
41.69768000,-87.9696400,193.0
